urn,successes,failures
urn:cite2:hmt:msA.v1:31v,2,8
urn:cite2:hmt:msA.v1:36v,0,9
urn:cite2:hmt:msA.v1:49v,7,0
urn:cite2:hmt:msA.v1:76r,5,0
urn:cite2:hmt:msA.v1:80v,9,1
urn:cite2:hmt:msA.v1:81r,5,5
urn:cite2:hmt:msA.v1:81v,1,0
urn:cite2:hmt:msA.v1:82r,2,6
urn:cite2:hmt:msA.v1:82v,6,0
urn:cite2:hmt:msA.v1:83r,13,4
urn:cite2:hmt:msA.v1:83v,10,1
urn:cite2:hmt:msA.v1:84r,4,4
urn:cite2:hmt:msA.v1:84v,4,2
urn:cite2:hmt:msA.v1:86v,5,1
urn:cite2:hmt:msA.v1:91v,3,3
urn:cite2:hmt:msA.v1:95r,0,2
urn:cite2:hmt:msA.v1:112r,3,9
urn:cite2:hmt:msA.v1:114r,5,9
urn:cite2:hmt:msA.v1:114v,5,9
urn:cite2:hmt:msA.v1:115r,1,7
urn:cite2:hmt:msA.v1:116r,3,13
urn:cite2:hmt:msA.v1:116v,4,6
urn:cite2:hmt:msA.v1:117r,1,1
urn:cite2:hmt:msA.v1:117v,4,0
urn:cite2:hmt:msA.v1:118v,3,6
urn:cite2:hmt:msA.v1:120r,6,0
urn:cite2:hmt:msA.v1:121v,2,7
urn:cite2:hmt:msA.v1:124r,0,6
urn:cite2:hmt:msA.v1:164v,3,6
urn:cite2:hmt:msA.v1:165v,2,2
urn:cite2:hmt:msA.v1:166v,2,10
urn:cite2:hmt:msA.v1:168r,3,1
urn:cite2:hmt:msA.v1:168v,4,0
urn:cite2:hmt:msA.v1:169r,0,4
urn:cite2:hmt:msA.v1:176r,9,0
urn:cite2:hmt:msA.v1:182r,3,2
urn:cite2:hmt:msA.v1:182v,6,1
urn:cite2:hmt:msA.v1:183r,3,6
urn:cite2:hmt:msA.v1:187v,5,0
urn:cite2:hmt:msA.v1:191v,4,3
urn:cite2:hmt:msA.v1:195r,1,5
urn:cite2:hmt:msA.v1:195v,3,2
urn:cite2:hmt:msA.v1:198r,2,3
urn:cite2:hmt:msA.v1:200v,5,1
urn:cite2:hmt:msA.v1:202v,1,1
urn:cite2:hmt:msA.v1:203v,4,3
urn:cite2:hmt:msA.v1:204r,5,2
urn:cite2:hmt:msA.v1:216r,3,3
urn:cite2:hmt:msA.v1:216v,3,1
urn:cite2:hmt:msA.v1:217v,3,0
urn:cite2:hmt:msA.v1:219r,2,4
urn:cite2:hmt:msA.v1:221r,2,2
urn:cite2:hmt:msA.v1:221v,2,0
urn:cite2:hmt:msA.v1:223r,1,0
urn:cite2:hmt:msA.v1:242v,2,4
urn:cite2:hmt:msA.v1:258v,3,0
urn:cite2:hmt:msA.v1:259v,2,3
urn:cite2:hmt:msA.v1:271v,2,2
urn:cite2:hmt:msA.v1:273v,4,2
urn:cite2:hmt:msA.v1:274r,4,4
urn:cite2:hmt:msA.v1:275r,1,2
urn:cite2:hmt:msA.v1:275v,6,3
urn:cite2:hmt:msA.v1:276r,3,5
urn:cite2:hmt:msA.v1:276v,4,3
urn:cite2:hmt:msA.v1:277r,2,1
urn:cite2:hmt:msA.v1:278r,0,4
urn:cite2:hmt:msA.v1:278v,4,6
urn:cite2:hmt:msA.v1:279r,4,1
urn:cite2:hmt:msA.v1:279v,4,2
urn:cite2:hmt:msA.v1:280r,0,3
urn:cite2:hmt:msA.v1:280v,5,3
urn:cite2:hmt:msA.v1:286v,0,3
urn:cite2:hmt:msA.v1:293r,6,0
urn:cite2:hmt:msA.v1:293v,4,2
urn:cite2:hmt:msA.v1:297r,6,0
urn:cite2:hmt:msA.v1:300r,2,1
urn:cite2:hmt:msA.v1:303r,3,2
urn:cite2:hmt:msA.v1:303v,0,3
urn:cite2:hmt:msA.v1:304v,0,4
urn:cite2:hmt:msA.v1:305v,0,3
urn:cite2:hmt:msA.v1:311v,1,6
urn:cite2:hmt:msA.v1:312r,3,4
urn:cite2:hmt:msA.v1:316r,6,1
urn:cite2:hmt:msA.v1:318r,3,0
urn:cite2:hmt:msA.v1:318v,4,0
urn:cite2:hmt:msA.v1:321v,5,3
urn:cite2:hmt:msA.v1:326v,2,0
